experiment_id,task_id,seed,condition,success,final_reward,db_reward,communicate_reward,nl_assertion_reward,result_path
exp5_3_rescue_20,1,501,generic_policy_card,1,1.0000,1.0000,,1.0000,third_party/tau2-bench/data/simulations/exp5_3_rescue_20/task_1/condition_generic_policy_card/seed_501/results.json
exp5_3_rescue_20,1,502,generic_policy_card,1,1.0000,1.0000,,1.0000,third_party/tau2-bench/data/simulations/exp5_3_rescue_20/task_1/condition_generic_policy_card/seed_502/results.json
exp5_3_rescue_20,1,503,generic_policy_card,1,1.0000,1.0000,,1.0000,third_party/tau2-bench/data/simulations/exp5_3_rescue_20/task_1/condition_generic_policy_card/seed_503/results.json
exp5_3_rescue_20,1,501,hard_mismatched_card,0,0.0000,0.0000,,1.0000,third_party/tau2-bench/data/simulations/exp5_3_rescue_20/task_1/condition_hard_mismatched_card/seed_501/results.json
exp5_3_rescue_20,1,502,hard_mismatched_card,1,1.0000,1.0000,,1.0000,third_party/tau2-bench/data/simulations/exp5_3_rescue_20/task_1/condition_hard_mismatched_card/seed_502/results.json
exp5_3_rescue_20,1,503,hard_mismatched_card,1,1.0000,1.0000,,1.0000,third_party/tau2-bench/data/simulations/exp5_3_rescue_20/task_1/condition_hard_mismatched_card/seed_503/results.json
exp5_3_rescue_20,1,501,no_memory,0,0.0000,0.0000,,1.0000,third_party/tau2-bench/data/simulations/exp5_3_rescue_20/task_1/condition_no_memory/seed_501/results.json
exp5_3_rescue_20,1,502,no_memory,1,1.0000,1.0000,,1.0000,third_party/tau2-bench/data/simulations/exp5_3_rescue_20/task_1/condition_no_memory/seed_502/results.json
exp5_3_rescue_20,1,503,no_memory,1,1.0000,1.0000,,1.0000,third_party/tau2-bench/data/simulations/exp5_3_rescue_20/task_1/condition_no_memory/seed_503/results.json
exp5_3_rescue_20,1,501,oracle_single_missing_check_card,1,1.0000,1.0000,,1.0000,third_party/tau2-bench/data/simulations/exp5_3_rescue_20/task_1/condition_oracle_single_missing_check_card/seed_501/results.json
exp5_3_rescue_20,1,502,oracle_single_missing_check_card,1,1.0000,1.0000,,1.0000,third_party/tau2-bench/data/simulations/exp5_3_rescue_20/task_1/condition_oracle_single_missing_check_card/seed_502/results.json
